Upload Contract Document,Upload Expected Terms Document,output,timestamp
.gradio\flagged\Upload Contract Document\8689b4695ee38c689cb9\Untitled document 13.pdf,.gradio\flagged\Upload Expected Terms Document\b542de47b48ef99227f2\Untitled document 12.pdf,"Error processing documents: a bytes-like object is required, not 'NamedString'",2024-12-04 19:48:24.445180
.gradio\flagged\Upload Contract Document\f931baf2f88a560fd4e4\Untitled document 13.pdf,.gradio\flagged\Upload Expected Terms Document\a1ec17fbbdfa44ce9885\Untitled document 12.pdf,"Error processing documents: a bytes-like object is required, not 'NamedString'",2024-12-04 19:48:34.566290
